"place","gender","age","home","time"
22431,"Female",32,"GBR",353.216666666667
22874,"Female",51,"TX",369.35
19366,"Female",34,"FRA",307.533333333333
6725,"Female",36,"NY",235.083333333333
18501,"Male",40,"GBR",299.133333333333
5215,"Male",48,"ITA",229.516666666667
13440,"Male",31,"PER",271.366666666667
14436,"Male",30,"NY",274.433333333333
9959,"Male",30,"IL",251.85
11973,"Male",31,"GA",261.833333333333
6828,"Female",25,"NY",238.333333333333
23514,"Male",38,"IRL",433.883333333333
3972,"Female",44,"GBR",220.25
6576,"Male",53,"GER",231.8
6763,"Male",38,"NY",237.533333333333
8480,"Female",42,"NJ",244.95
21018,"Male",70,"JPN",322.983333333333
8823,"Female",20,"MEX",244.883333333333
6092,"Male",51,"NJ",234.016666666667
14081,"Male",29,"MN",272.983333333333
11857,"Male",31,"MN",259.616666666667
9457,"Male",42,"FRA",251.783333333333
15096,"Female",33,"IL",280.066666666667
22871,"Female",32,"NY",370.6
14570,"Female",26,"DC",277.6
14622,"Male",51,"FRA",277.683333333333
9910,"Male",53,"NED",253.283333333333
14099,"Female",28,"NY",274.883333333333
20863,"Female",24,"NJ",324.15
21831,"Female",42,"CA",341.766666666667
22365,"Female",34,"NY",350.25
17535,"Female",55,"TN",295.5
8216,"Female",40,"NC",245.516666666667
17322,"Male",29,"GBR",293.666666666667
19119,"Male",33,"GA",302.55
14787,"Female",30,"MA",275.1
15669,"Male",41,"NY",282.6
21568,"Male",22,"NY",330.566666666667
8250,"Male",33,"DC",242.15
265,"Male",29,"FIN",168.183333333333
8638,"Male",42,"NJ",244.716666666667
8300,"Female",32,"MA",246.266666666667
15257,"Female",20,"CA",278.8
359,"Male",38,"FRA",173.15
15129,"Female",30,"JPN",279.816666666667
3077,"Female",34,"NED",214.633333333333
14906,"Male",35,"GBR",278.216666666667
8139,"Female",30,"NJ",244.766666666667
12861,"Female",44,"TX",268.066666666667
13355,"Male",51,"FRA",269.95
1306,"Male",44,"NY",195.35
13552,"Female",43,"CA",272.4
14578,"Male",49,"CAN",276.783333333333
1603,"Male",42,"MA",198.216666666667
13427,"Male",32,"NY",272.016666666667
18417,"Female",35,"PA",298.35
11981,"Female",38,"NY",262.683333333333
21253,"Male",39,"NED",330.616666666667
12354,"Female",48,"NOR",265.4
9541,"Male",36,"CT",253.3
4781,"Male",56,"FRA",224.65
17681,"Female",31,"CT",295.716666666667
17107,"Female",30,"NJ",291.066666666667
3577,"Male",33,"FL",218.283333333333
17799,"Male",52,"FL",289.7
7109,"Male",23,"GBR",238.233333333333
10603,"Male",39,"NED",251.083333333333
22694,"Male",49,"NY",366.583333333333
7267,"Male",32,"CA",238.25
2255,"Female",32,"NY",207.15
20054,"Male",29,"ITA",313.3
19641,"Male",33,"ITA",310.716666666667
6567,"Male",54,"GBR",235.533333333333
12282,"Male",36,"FRA",265.5
4429,"Male",38,"VEN",224.716666666667
868,"Male",40,"NY",186.916666666667
7215,"Male",33,"OH",239.066666666667
18895,"Female",32,"CA",300.016666666667
13276,"Male",40,"DEN",270.033333333333
646,"Male",24,"JPN",181.9
19607,"Male",41,"NJ",305.95
23551,"Female",48,"IRL",439.833333333333
2075,"Male",33,"NJ",205.266666666667
18175,"Male",67,"ESP",296.633333333333
10968,"Female",22,"CA",258.7
18589,"Male",5,"",302.683333333333
15436,"Female",40,"NY",281.133333333333
5260,"Male",56,"ITA",230.05
9189,"Female",30,"NY",248.766666666667
5276,"Male",26,"NY",227.8
10698,"Male",53,"NY",258.15
14443,"Female",38,"NED",272.15
8043,"Male",41,"FRA",243.6
17127,"Male",54,"OR",290.616666666667
19330,"Male",43,"NY",306.283333333333
17368,"Female",24,"NY",288.55
1028,"Male",34,"ITA",189.816666666667
11088,"Female",40,"FL",257.783333333333
10818,"Male",27,"NY",259.283333333333
23593,"Male",51,"NY",454.65
2906,"Male",23,"NY",212.65
4708,"Female",43,"OH",223.433333333333
15912,"Male",41,"MO",285.616666666667
14146,"Male",40,"MA",270.066666666667
8984,"Male",47,"FRA",247.133333333333
10335,"Male",21,"IRL",256.2
7424,"Female",30,"GBR",239.416666666667
4660,"Male",33,"FL",226.233333333333
23115,"Female",20,"GBR",387.4
17239,"Male",55,"NY",293.016666666667
6166,"Male",32,"NY",233.483333333333
10112,"Female",31,"NY",250.433333333333
20455,"Female",31,"MA",316.7
16670,"Male",31,"NJ",288.816666666667
13512,"Male",36,"NJ",272.466666666667
10600,"Female",36,"JPN",258.333333333333
20481,"Male",72,"ARG",321.866666666667
23063,"Male",41,"LA",382.933333333333
18997,"Male",58,"NY",305.733333333333
13979,"Male",32,"GBR",272.566666666667
13374,"Female",35,"NY",271.4
20858,"Male",42,"ITA",321.35
2012,"Female",30,"NY",204.933333333333
13710,"Male",33,"NY",272.816666666667
3681,"Male",44,"GER",217.466666666667
17342,"Female",32,"NY",287.866666666667
17765,"Male",38,"NED",293.05
2789,"Male",32,"PA",210.65
3378,"Male",48,"CHI",217.35
6395,"Male",38,"AUS",230.75
6940,"Male",31,"NJ",237.883333333333
4034,"Male",32,"NY",221.15
22945,"Female",33,"NJ",379.85
23199,"Male",37,"NJ",398.266666666667
15639,"Male",50,"NY",283.783333333333
1054,"Male",52,"PR",191.05
17079,"Female",33,"BEL",290.333333333333
5701,"Male",32,"MA",230.1
6101,"Male",22,"GBR",233.383333333333
6397,"Male",43,"NY",235.483333333333
19422,"Male",34,"GA",304.966666666667
14096,"Male",46,"MEX",273.516666666667
19973,"Male",34,"NY",315.75
5974,"Male",49,"MEX",234.316666666667
4649,"Male",31,"CAN",225.283333333333
9960,"Male",58,"DEN",254.216666666667
23520,"Female",32,"GBR",434.183333333333
6915,"Male",42,"VA",238.85
5883,"Male",43,"ITA",233.75
11160,"Male",43,"IL",258.916666666667
11865,"Male",41,"CA",262.366666666667
8087,"Male",30,"NJ",244.05
18949,"Male",66,"GER",302.516666666667
21478,"Female",53,"FRA",330.066666666667
22599,"Male",30,"TX",359.45
20164,"Female",31,"NJ",316.033333333333
23349,"Female",31,"CA",404.55
2543,"Male",33,"NY",208.783333333333
3683,"Female",30,"NY",219.5
5335,"Male",33,"NY",229.35
6722,"Male",24,"NY",230.533333333333
20250,"Male",70,"MI",318.05
5857,"Female",27,"NY",233.45
23460,"Male",62,"FL",423.016666666667
20838,"Female",21,"GBR",321.233333333333
9757,"Male",46,"VEN",254.066666666667
7753,"Female",33,"MA",240.033333333333
21325,"Male",46,"NY",334.216666666667
8986,"Male",50,"FRA",247.283333333333
3137,"Male",40,"CT",214.366666666667
14666,"Male",39,"GBR",275.916666666667
19712,"Female",23,"NY",305.633333333333
18237,"Male",52,"ITA",298.183333333333
1825,"Male",36,"FRA",202.533333333333
13591,"Female",35,"NY",268.233333333333
2181,"Male",29,"WA",205.183333333333
19925,"Male",29,"IL",312.5
3638,"Male",53,"FRA",218.966666666667
3559,"Male",44,"PA",218.666666666667
21124,"Male",46,"FRA",325.6
18111,"Male",54,"NY",295.2
16211,"Male",41,"NY",284.4
9407,"Male",47,"VEN",251.966666666667
10520,"Female",40,"NY",258.4
8675,"Male",42,"GER",247.166666666667
21551,"Male",37,"GBR",332.816666666667
4458,"Female",31,"IL",224.866666666667
8615,"Male",50,"FRA",242.266666666667
1766,"Male",35,"CHI",201.466666666667
7143,"Male",50,"WA",239.083333333333
18703,"Male",40,"VA",298.333333333333
15795,"Male",32,"DC",283.766666666667
11810,"Male",62,"ITA",263.2
19581,"Male",46,"FIN",305.9
8307,"Male",34,"ITA",244.566666666667
15618,"Female",30,"NY",282.25
1004,"Male",26,"NY",189.883333333333
5304,"Male",31,"CAN",230.133333333333
19496,"Male",55,"NY",310.2
21422,"Male",58,"ITA",332.683333333333
6051,"Female",41,"ITA",234.3
16905,"Male",47,"NED",285.283333333333
23654,"Male",69,"NY",508.083333333333
18060,"Male",33,"GA",296.45
4928,"Male",54,"MD",226.433333333333
9586,"Male",53,"NC",246.85
22565,"Male",50,"AZ",359.466666666667
4447,"Male",46,"GER",224.416666666667
7790,"Male",31,"VA",241.566666666667
13664,"Male",35,"SUI",266.45
17918,"Male",43,"NY",291.616666666667
6196,"Male",32,"TX",234.016666666667
892,"Female",30,"CA",187.733333333333
21510,"Female",56,"FRA",333.283333333333
20617,"Female",21,"GBR",319.033333333333
19884,"Male",41,"NY",313.366666666667
19045,"Female",33,"TX",305.3
9991,"Male",30,"GBR",250.8
2303,"Male",23,"NY",206.566666666667
9463,"Female",30,"MD",250.95
12938,"Male",34,"NY",264.983333333333
16586,"Male",39,"TX",288.066666666667
22154,"Female",32,"NY",350.783333333333
23008,"Male",50,"CA",379.3
22742,"Female",31,"TX",363.466666666667
3126,"Male",40,"NY",215.133333333333
9380,"Male",48,"NOR",251.833333333333
21822,"Male",36,"CT",343.6
7915,"Male",34,"MEX",240.683333333333
21941,"Male",69,"SD",339.05
17844,"Male",47,"PER",295.516666666667
14156,"Female",29,"DEN",274.233333333333
14632,"Female",49,"FRA",277.766666666667
4496,"Male",40,"FRA",224.8
19356,"Male",60,"GER",302.466666666667
12800,"Male",37,"GBR",265.766666666667
3814,"Female",36,"CT",220.583333333333
2833,"Male",34,"ITA",212.166666666667
7912,"Male",30,"MA",242.4
10649,"Female",33,"NY",258.966666666667
14897,"Male",39,"NY",277.55
21924,"Male",50,"NY",339.983333333333
9581,"Male",32,"NJ",253.316666666667
16437,"Female",33,"VA",287.466666666667
21089,"Male",42,"NY",330.416666666667
4370,"Male",48,"ESP",224.533333333333
8585,"Male",61,"NJ",247.75
827,"Male",36,"ITA",186.383333333333
8529,"Male",30,"NY",245.4
298,"Male",33,"NY",169.666666666667
9330,"Male",48,"OR",249.2
495,"Male",46,"FRA",177.616666666667
11732,"Male",51,"FRA",261.8
21441,"Male",52,"NY",330.8
4776,"Male",36,"NED",225.45
21297,"Female",43,"NJ",328
17658,"Male",32,"NY",292.866666666667
11959,"Female",40,"AUT",262.95
15860,"Female",34,"CAN",283.8
20334,"Male",22,"SC",313.166666666667
13570,"Female",30,"CAN",270.2
16506,"Female",33,"NED",284.4
13342,"Female",22,"VA",268.516666666667
22255,"Female",33,"PER",347.633333333333
367,"Male",43,"CA",173.366666666667
20218,"Female",50,"SWE",316.566666666667
8010,"Female",41,"CAN",244.45
12682,"Male",31,"NY",266.1
2757,"Male",33,"ARG",211.7
1207,"Male",40,"SUI",193.2
21759,"Male",30,"NJ",337.966666666667
17530,"Male",52,"PA",290.45
4041,"Male",39,"NY",221.35
7458,"Male",33,"ITA",237.45
18750,"Female",50,"WA",296.916666666667
4760,"Male",33,"NY",225.7
15546,"Male",48,"GER",282.1
3637,"Female",31,"NY",219.433333333333
18601,"Male",42,"NY",299.9
3698,"Male",40,"SUI",218.233333333333
20735,"Female",44,"FRA",321.416666666667
446,"Male",55,"NOR",176.233333333333
21255,"Female",27,"NY",332.2
23662,"Female",69,"NY",566.783333333333
17320,"Male",30,"GBR",291.166666666667
17235,"Male",42,"NY",291.216666666667
21506,"Male",50,"GBR",332.3
9442,"Male",56,"NY",252.533333333333
18472,"Female",40,"NJ",294.016666666667
335,"Male",32,"SWE",171.566666666667
19602,"Male",52,"NY",311.483333333333
21916,"Female",30,"NJ",340.416666666667
4320,"Male",44,"NJ",224.3
9704,"Male",35,"NY",252.3
10874,"Male",31,"NY",256.983333333333
9853,"Male",72,"ID",254.833333333333
12343,"Male",34,"NY",265.016666666667
6197,"Male",58,"GBR",234.316666666667
676,"Male",41,"MI",182.7
22556,"Female",50,"CAN",359.866666666667
8317,"Male",31,"NY",245.283333333333
4039,"Male",30,"NY",221.683333333333
7693,"Male",57,"FRA",240.466666666667
18014,"Male",35,"NED",294.916666666667
9301,"Male",22,"VT",250.716666666667
15429,"Male",48,"NJ",280.366666666667
19695,"Female",51,"NJ",312.216666666667
15533,"Male",44,"GBR",279.033333333333
11675,"Male",63,"ITA",262.116666666667
21199,"Male",71,"SWE",331.133333333333
22616,"Male",24,"GBR",361.666666666667
5189,"Female",41,"PER",228.966666666667
7561,"Male",40,"NY",239.133333333333
12132,"Male",33,"NY",265.3
15901,"Female",23,"CT",282.766666666667
21364,"Male",31,"CA",332.683333333333
10760,"Male",43,"NY",258.5
18195,"Male",32,"NY",298.316666666667
3832,"Male",42,"NY",220.3
21600,"Female",33,"NY",332.383333333333
14480,"Female",36,"PA",277.383333333333
20228,"Male",29,"GBR",316.766666666667
7205,"Female",30,"CA",239.483333333333
19862,"Female",46,"NY",313.75
10665,"Male",22,"NJ",256.266666666667
2509,"Male",22,"COL",207.5
18270,"Male",31,"ME",299.3
15133,"Female",23,"NY",275.033333333333
2433,"Male",44,"NJ",208.166666666667
15439,"Female",24,"NY",280.1
7017,"Male",40,"FRA",237.866666666667
9046,"Male",33,"CA",248.516666666667
1281,"Female",35,"NY",194.95
4197,"Male",46,"ITA",222.783333333333
11200,"Male",50,"NOR",260.833333333333
3939,"Male",45,"NY",220.516666666667
6791,"Male",50,"FRA",236.766666666667
6761,"Female",33,"NY",236.083333333333
3340,"Male",32,"MA",214.7
15026,"Male",30,"NY",278.333333333333
8914,"Male",34,"VA",248.4
2658,"Male",33,"NJ",208.75
13856,"Male",40,"CA",272.383333333333
1180,"Female",36,"MN",193.316666666667
21088,"Male",21,"CT",329.25
6053,"Female",43,"CT",234.316666666667
2648,"Male",27,"NY",209.566666666667
17958,"Male",49,"WI",290.933333333333
21677,"Male",22,"PA",338.816666666667
15135,"Female",21,"SC",275.033333333333
7580,"Male",44,"PHI",240.1
13550,"Male",56,"BRA",273.066666666667
22712,"Female",49,"CT",365.566666666667
15153,"Male",31,"GBR",279.083333333333
21404,"Male",50,"CA",329.816666666667
7703,"Male",37,"GBR",241.816666666667
17691,"Male",31,"NY",293.966666666667
2154,"Male",28,"NJ",206.25
9119,"Male",53,"NED",249.683333333333
3021,"Male",27,"MD",213.05
18010,"Female",32,"CO",296.283333333333
18741,"Female",30,"CAN",301.466666666667
2782,"Male",40,"GBR",209.95
16320,"Male",33,"CT",287
18020,"Male",35,"NED",295.416666666667
1806,"Male",46,"FRA",201.75
8124,"Male",26,"GBR",243.466666666667
8940,"Male",32,"NY",247.383333333333
4219,"Male",37,"MEX",222.95
3105,"Male",29,"NED",214.866666666667
17577,"Female",51,"NY",291.616666666667
3655,"Male",23,"CT",217.433333333333
7631,"Male",35,"CAN",235.116666666667
15475,"Male",42,"GBR",275.783333333333
15541,"Male",43,"MD",281.216666666667
11684,"Male",22,"NY",261.9
16883,"Female",23,"CT",289.666666666667
18752,"Female",33,"GER",301.416666666667
11885,"Female",29,"TX",264.333333333333
22542,"Male",23,"GBR",355.866666666667
10702,"Male",47,"GBR",256.15
15365,"Female",41,"NY",280.883333333333
11149,"Female",21,"VA",259.066666666667
16458,"Female",35,"NY",287.883333333333
14805,"Male",30,"NY",272.166666666667
12218,"Female",31,"NY",264.083333333333
5964,"Male",42,"FRA",232.633333333333
12971,"Female",31,"NY",268.4
6857,"Male",46,"GBR",237
7975,"Male",30,"DC",243.2
17848,"Female",43,"NY",294.116666666667
15951,"Male",33,"MA",283.783333333333
13334,"Male",56,"NY",270.633333333333
19442,"Female",34,"FL",308.266666666667
4065,"Male",43,"ITA",222.2
3746,"Male",37,"GBR",219.933333333333
11255,"Male",32,"NY",260.483333333333
5865,"Male",49,"ITA",233.566666666667
17966,"Male",32,"NY",293.066666666667
21612,"Male",34,"GBR",333.366666666667
17898,"Male",63,"ITA",295.266666666667
16810,"Male",40,"SUR",289.066666666667
17988,"Female",34,"VEN",291.7
3540,"Male",53,"NY",218.783333333333
17208,"Male",37,"LA",290.7
4693,"Male",51,"MA",226.55
22642,"Female",20,"GBR",361.85
13824,"Female",38,"GBR",272.05
15778,"Female",38,"NJ",285.066666666667
12438,"Male",37,"ITA",266.383333333333
23533,"Male",70,"ITA",440.766666666667
6665,"Female",22,"GA",237.25
1322,"Male",53,"NY",195.1
13166,"Male",47,"CAN",270.5
23027,"Male",40,"CA",379.216666666667
17330,"Female",29,"ITA",288.483333333333
18271,"Male",53,"NY",299.3
21259,"Male",33,"VA",326.45
16858,"Male",41,"FL",288.966666666667
7701,"Male",40,"GBR",239.45
23641,"Male",40,"IRL",491.566666666667
7522,"Male",30,"NJ",241.716666666667
3387,"Male",41,"NY",216.916666666667
4165,"Male",40,"RSA",221.783333333333
4745,"Male",28,"ITA",224.7
20616,"Female",31,"NY",317.316666666667
3859,"Male",43,"FRA",220.65
611,"Male",44,"FRA",180.783333333333
22163,"Female",48,"NJ",349.1
4814,"Male",37,"NY",225.383333333333
17030,"Male",50,"CA",291
3776,"Male",50,"ITA",217.083333333333
17749,"Male",32,"NY",294.283333333333
5347,"Female",38,"GER",230.283333333333
4070,"Female",40,"FRA",222.033333333333
20975,"Male",44,"CT",325
17094,"Male",50,"NJ",293.05
18972,"Male",50,"GBR",299.916666666667
11386,"Female",29,"NY",262.2
19731,"Male",32,"IL",306.6
1053,"Female",42,"MN",190.933333333333
116,"Male",43,"CO",157.583333333333
8478,"Male",37,"CAN",244.95
7731,"Female",23,"MA",241.566666666667
2351,"Male",46,"NY",208
13982,"Male",51,"NJ",268.083333333333
10961,"Male",47,"CO",258.116666666667
10062,"Male",25,"GBR",251.833333333333
3788,"Male",32,"NY",220.45
11745,"Female",27,"NY",261.7
16879,"Female",27,"MEX",288.783333333333
7663,"Female",33,"FRA",242.516666666667
17997,"Male",46,"FRA",296.333333333333
20015,"Female",30,"NY",314.05
228,"Male",33,"ESP",165.516666666667
8817,"Male",22,"NY",247.983333333333
15894,"Male",20,"GBR",284.083333333333
16916,"Female",33,"GBR",286.516666666667
8594,"Male",41,"VT",246.433333333333
15107,"Male",38,"NY",275.833333333333
20003,"Male",57,"ITA",315.766666666667
626,"Male",33,"NY",180.7
5550,"Male",23,"ITA",231.133333333333
22884,"Female",30,"NY",370.2
5549,"Male",31,"MA",229.15
6537,"Male",41,"FRA",235.883333333333
11471,"Male",31,"NY",259.733333333333
6414,"Male",38,"FL",233.783333333333
4627,"Male",37,"GBR",225.083333333333
9896,"Male",60,"GER",249.033333333333
21296,"Male",46,"GBR",331.15
10920,"Male",45,"GBR",257.05
1872,"Male",43,"NY",203.383333333333
21934,"Female",54,"NY",339.066666666667
11323,"Male",50,"CAN",258.333333333333
11544,"Male",31,"NY",262.433333333333
16741,"Female",42,"NC",288.566666666667
13073,"Male",42,"IL",267.616666666667
3344,"Male",39,"ITA",216.516666666667
699,"Male",31,"VEN",183.116666666667
17678,"Male",40,"TX",294.65
8899,"Female",53,"AUS",249.383333333333
20226,"Male",25,"GBR",316.75
14905,"Male",29,"NED",275.616666666667
13804,"Male",47,"FRA",271.633333333333
2403,"Male",31,"NY",208.2
17939,"Female",45,"NJ",293.85
3571,"Male",37,"GBR",217.15
700,"Male",44,"NJ",183.45
20323,"Male",45,"JPN",316.85
7882,"Male",43,"GA",240.35
8979,"Male",48,"NY",248.3
9705,"Male",26,"MEX",253.566666666667
4469,"Male",32,"VA",223.383333333333
1192,"Male",28,"ITA",193.416666666667
23427,"Male",32,"GBR",414.983333333333
13997,"Male",28,"BRA",274.283333333333
1689,"Male",42,"FRA",201.05
18653,"Male",33,"NY",302.3
8888,"Female",22,"NY",249.316666666667
14421,"Female",24,"CA",275.066666666667
11380,"Female",37,"CAN",255.816666666667
8415,"Male",37,"PA",245.2
8515,"Male",23,"MA",243.766666666667
23405,"Female",28,"MO",415.133333333333
8192,"Female",32,"NY",243.15
5146,"Male",43,"GER",225.75
9238,"Male",41,"NY",248.9
5165,"Male",28,"NED",228.35
21830,"Male",40,"NY",343.483333333333
2997,"Female",38,"FRA",213.916666666667
19413,"Male",35,"NJ",305.233333333333
4313,"Male",20,"FRA",224.016666666667
14091,"Male",37,"FRA",271.283333333333
15518,"Male",31,"NY",279.316666666667
13326,"Male",62,"NY",269.05
4888,"Male",44,"SWE",227.216666666667
20140,"Male",43,"NY",317.85
1710,"Male",34,"NY",200.966666666667
4876,"Male",38,"VEN",225.833333333333
14324,"Female",47,"NJ",272.5
17773,"Male",28,"RSA",295.4
975,"Male",46,"GBR",189.333333333333
21956,"Male",33,"ITA",339.683333333333
14446,"Male",31,"NY",276.95
19732,"Male",43,"ITA",311.566666666667
18890,"Male",50,"NED",303.216666666667
20187,"Male",52,"OH",315.333333333333
13230,"Male",38,"NED",270
2688,"Male",40,"NED",209.233333333333
14999,"Female",46,"NY",280.9
11603,"Male",29,"NY",262.916666666667
11459,"Male",31,"NY",261.066666666667
7382,"Male",24,"NY",241.15
4223,"Male",39,"NY",221.983333333333
13510,"Male",31,"NY",272.666666666667
19071,"Male",51,"JPN",298.983333333333
13367,"Male",41,"NY",271.75
4568,"Female",25,"NY",225.583333333333
7030,"Male",39,"NJ",237.75
669,"Male",34,"ARG",182.766666666667
3470,"Male",50,"FRA",217.916666666667
12238,"Male",42,"IL",260.316666666667
11618,"Male",54,"FIN",262.583333333333
20813,"Female",54,"NJ",325.333333333333
6137,"Male",32,"NED",233.95
23316,"Male",73,"NJ",400.716666666667
5750,"Female",30,"CA",230.733333333333
18841,"Male",41,"GER",301.716666666667
22137,"Male",31,"NY",348.3
1188,"Male",49,"NED",193.05
7995,"Male",50,"TX",242.983333333333
15937,"Female",42,"NY",278.866666666667
18677,"Male",55,"GER",300.466666666667
3181,"Male",28,"NY",215.1
21900,"Female",40,"NY",341.716666666667
7430,"Male",30,"GBR",239.766666666667
21984,"Male",40,"MO",343.85
20704,"Female",36,"NY",323.05
